HG00118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_2.fastq.gz	ERS185083	HG00118.4.M_120208_5	GBR	4
HG00119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188119/ERR188119_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188119/ERR188119_2.fastq.gz	ERS185402	HG00119.2.M_111216_6	GBR	2
HG00120	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188315/ERR188315_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188315/ERR188315_2.fastq.gz	ERS185405	HG00120.3.M_120202_2	GBR	3
HG00121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188087/ERR188087_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188087/ERR188087_2.fastq.gz	ERS185241	HG00121.1.M_111124_7	GBR	1
HG00122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188285/ERR188285_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188285/ERR188285_2.fastq.gz	ERS185162	HG00122.6.M_120119_1	GBR	6
HG00123	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_2.fastq.gz	ERS185352	HG00123.4.M_120208_7	GBR	4
HG00124	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188310/ERR188310_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188310/ERR188310_2.fastq.gz	ERS185232	HG00124.3.M_120223_7	GBR	3
HG00125	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188059/ERR188059_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188059/ERR188059_2.fastq.gz	ERS185099	HG00125.1.M_111124_6	GBR	1
HG00126	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188461/ERR188461_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188461/ERR188461_2.fastq.gz	ERS185403	HG00126.1.M_111124_8	GBR	1
HG00127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188337/ERR188337_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188337/ERR188337_2.fastq.gz	ERS185094	HG00127.1.M_111124_2	GBR	1
HG00128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_2.fastq.gz	ERS185471	HG00128.1.M_111124_6	GBR	1
HG00129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_2.fastq.gz	ERS185235	HG00129.4.M_120208_8	GBR	4
HG00130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188443/ERR188443_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188443/ERR188443_2.fastq.gz	ERS185469	HG00130.5.M_120131_7	GBR	5
HG00131	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188403/ERR188403_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188403/ERR188403_2.fastq.gz	ERS185429	HG00131.2.M_111215_5	GBR	2
HG00132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188430/ERR188430_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188430/ERR188430_2.fastq.gz	ERS185425	HG00132.2.M_111215_4	GBR	2
HG00133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188189/ERR188189_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188189/ERR188189_2.fastq.gz	ERS185115	HG00133.2.M_111216_2	GBR	2
HG00134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188338/ERR188338_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188338/ERR188338_2.fastq.gz	ERS185273	HG00134.6.M_120119_6	GBR	6
HG00135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188133/ERR188133_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188133/ERR188133_2.fastq.gz	ERS185033	HG00135.3.M_120202_8	GBR	3
HG00136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_2.fastq.gz	ERS185448	HG00136.4.M_120208_7	GBR	4
HG00137	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_2.fastq.gz	ERS185374	HG00137.6.M_120217_1	GBR	6
HG00138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188385/ERR188385_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188385/ERR188385_2.fastq.gz	ERS185179	HG00138.5.M_120131_5	GBR	5
HG00139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188144/ERR188144_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188144/ERR188144_2.fastq.gz	ERS185358	HG00139.7.M_120219_1	GBR	7
HG00141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188401/ERR188401_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188401/ERR188401_2.fastq.gz	ERS185234	HG00141.5.M_120131_3	GBR	5
HG00142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_2.fastq.gz	ERS185174	HG00142.4.M_120208_6	GBR	4
HG00143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_2.fastq.gz	ERS185423	HG00143.7.M_120219_2	GBR	7
